"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","peopl","govern","world","shall","new","upon","will","nation"
"2","servic","state","peopl","may","must","everi","nation","men"
"3","good","constitut","effort","never","american","countri","can","upon"
"4","place","power","power","spirit","world","institut","now","life"
"5","demand","will","first","yet","america","present","human","govern"
"6","trust","public","help","great","let","exist","freedom","day"
"7","confid","right","peac","question","time","confid","believ","come"
"8","found","protect","unit","whether","work","patriot","just","great"
"9","life","union","econom","congress","everi","danger","faith","thing"
"10","economi","duti","action","domest","today","republ","right","purpos"
"11","american","unit","countri","ever","peopl","desir","god","stand"
"12","reform","law","democraci","might","will","experi","hope","task"
"13","oath","preserv","make","high","centuri","interest","common","without"
"14","guid","interest","live","time","chang","polit","differ","see"
"15","honest","happi","resourc","parti","citizen","view","liberti","mani"
"16","enterpris","feder","essenti","fair","generat","sacr","peac","know"
"17","effect","foreign","free","now","land","far","still","year"
"18","conscienc","limit","shall","remain","togeth","just","must","seek"
"19","return","principl","truth","necessari","live","result","man","moral"
"20","compet","peopl","arm","best","one","countrymen","great","thought"
